model,accuracy,precision,sensitivity,specificity,f1,roc_auc,mcc,tn,fp,fn,tp
Custom KNN,0.7272727272727273,0.625,0.5555555555555556,0.82,0.5882352941176471,0.7900000000000001,0.3868989217888074,82.0,18.0,24.0,30.0
Decision Tree,0.7857142857142857,0.6981132075471698,0.6851851851851852,0.84,0.6915887850467289,0.7887037037037039,0.5274857417680364,84.0,16.0,17.0,37.0
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.84,0.6,0.7962962962962963,0.4123951744684367,84.0,16.0,24.0,30.0
Gaussian NB,0.7012987012987013,0.5666666666666667,0.6296296296296297,0.74,0.5964912280701754,0.7646296296296297,0.36167967605963075,74.0,26.0,20.0,34.0
MLP,0.7272727272727273,0.6153846153846154,0.5925925925925926,0.8,0.6037735849056604,0.8103703703703704,0.3961295342422729,80.0,20.0,22.0,32.0
